hour,heating_c,cooling_c,reason
176,22.0,24.0,verified autonomous action
177,22.0,24.0,verified autonomous action
178,22.0,24.0,verified autonomous action
179,22.0,24.0,verified autonomous action
180,22.0,24.0,verified autonomous action
181,22.0,24.0,verified autonomous action
182,22.0,24.0,verified autonomous action
183,22.0,24.0,verified autonomous action
184,22.0,24.0,verified autonomous action
185,22.0,24.0,verified autonomous action
186,16.7,29.4,verified autonomous action
187,16.7,29.4,verified autonomous action
188,16.7,29.4,verified autonomous action
189,16.7,29.4,verified autonomous action
190,16.7,29.4,verified autonomous action
191,16.7,29.4,verified autonomous action
192,16.7,29.4,verified autonomous action
193,16.7,29.4,verified autonomous action
194,16.7,29.4,verified autonomous action
195,16.7,29.4,verified autonomous action
196,22.0,24.0,verified autonomous action
197,22.0,24.0,verified autonomous action
198,22.0,24.0,verified autonomous action
199,22.0,24.0,verified autonomous action
200,22.0,24.0,verified autonomous action
201,22.0,24.0,verified autonomous action
202,22.0,24.0,verified autonomous action
203,22.0,24.0,verified autonomous action
204,22.0,24.0,verified autonomous action
205,22.0,24.0,verified autonomous action
206,22.0,24.0,verified autonomous action
207,22.0,24.0,verified autonomous action
208,22.0,24.0,verified autonomous action
209,22.0,24.0,verified autonomous action
210,16.7,29.4,verified autonomous action
211,16.7,29.4,verified autonomous action
212,16.7,29.4,verified autonomous action
213,16.7,29.4,verified autonomous action
214,16.7,29.4,verified autonomous action
215,16.7,29.4,verified autonomous action
216,16.7,29.4,verified autonomous action
217,16.7,29.4,verified autonomous action
218,16.7,29.4,verified autonomous action
219,16.7,29.4,verified autonomous action
220,16.7,29.4,verified autonomous action
221,16.7,29.4,verified autonomous action
222,16.7,29.4,verified autonomous action
223,16.7,29.4,verified autonomous action
224,16.7,29.4,verified autonomous action
225,16.7,29.4,verified autonomous action
226,16.7,29.4,verified autonomous action
227,16.7,29.4,verified autonomous action
228,16.7,29.4,verified autonomous action
229,16.7,29.4,verified autonomous action
230,16.7,29.4,verified autonomous action
231,16.7,29.4,verified autonomous action
232,16.7,29.4,verified autonomous action
233,16.7,29.4,verified autonomous action
234,16.7,29.4,verified autonomous action
235,16.7,29.4,verified autonomous action
236,16.7,29.4,verified autonomous action
237,16.7,29.4,verified autonomous action
238,16.7,29.4,verified autonomous action
239,16.7,29.4,verified autonomous action
240,16.7,29.4,verified autonomous action
241,16.7,29.4,verified autonomous action
242,16.7,29.4,verified autonomous action
243,16.7,29.4,verified autonomous action
244,16.7,29.4,verified autonomous action
245,16.7,29.4,verified autonomous action
246,16.7,29.4,verified autonomous action
247,16.7,29.4,verified autonomous action
248,16.7,29.4,verified autonomous action
249,16.7,29.4,verified autonomous action
250,16.7,29.4,verified autonomous action
251,16.7,29.4,verified autonomous action
252,16.7,29.4,verified autonomous action
253,16.7,29.4,verified autonomous action
254,16.7,29.4,verified autonomous action
255,16.7,29.4,verified autonomous action
256,16.7,29.4,verified autonomous action
257,16.7,29.4,verified autonomous action
258,16.7,29.4,verified autonomous action
259,16.7,29.4,verified autonomous action
260,16.7,29.4,verified autonomous action
261,16.7,29.4,verified autonomous action
262,16.7,29.4,verified autonomous action
263,16.7,29.4,verified autonomous action
264,16.7,29.4,verified autonomous action
265,16.7,29.4,verified autonomous action
266,16.7,29.4,verified autonomous action
267,16.7,29.4,verified autonomous action
268,22.0,24.0,verified autonomous action
269,22.0,24.0,verified autonomous action
270,22.0,24.0,verified autonomous action
271,22.0,24.0,verified autonomous action
272,22.0,24.0,verified autonomous action
273,22.0,24.0,verified autonomous action
274,22.0,24.0,verified autonomous action
275,22.0,24.0,verified autonomous action
276,22.0,24.0,verified autonomous action
277,22.0,24.0,verified autonomous action
278,22.0,24.0,verified autonomous action
279,22.0,24.0,verified autonomous action
280,22.0,24.0,verified autonomous action
281,22.0,24.0,verified autonomous action
282,16.7,29.4,verified autonomous action
283,16.7,29.4,verified autonomous action
284,16.7,29.4,verified autonomous action
285,16.7,29.4,verified autonomous action
286,16.7,29.4,verified autonomous action
287,16.7,29.4,verified autonomous action
288,16.7,29.4,verified autonomous action
289,16.7,29.4,verified autonomous action
290,16.7,29.4,verified autonomous action
291,16.7,29.4,verified autonomous action
292,16.7,29.4,verified autonomous action
293,22.0,24.0,verified autonomous action
294,22.0,24.0,verified autonomous action
295,22.0,24.0,verified autonomous action
296,22.0,24.0,verified autonomous action
297,22.0,24.0,verified autonomous action
298,22.0,24.0,verified autonomous action
299,22.0,24.0,verified autonomous action
300,22.0,24.0,verified autonomous action
301,22.0,24.0,verified autonomous action
302,22.0,24.0,verified autonomous action
303,22.0,24.0,verified autonomous action
304,22.0,24.0,verified autonomous action
305,22.0,24.0,verified autonomous action
306,22.0,24.0,verified autonomous action
307,16.7,29.4,verified autonomous action
308,16.7,29.4,verified autonomous action
309,16.7,29.4,verified autonomous action
310,16.7,29.4,verified autonomous action
311,16.7,29.4,verified autonomous action
312,16.7,29.4,verified autonomous action
313,16.7,29.4,verified autonomous action
314,16.7,29.4,verified autonomous action
315,16.7,29.4,verified autonomous action
316,16.7,29.4,verified autonomous action
317,22.0,24.0,verified autonomous action
318,22.0,24.0,verified autonomous action
319,22.0,24.0,verified autonomous action
320,22.0,24.0,verified autonomous action
321,22.0,24.0,verified autonomous action
322,22.0,24.0,verified autonomous action
323,22.0,24.0,verified autonomous action
324,22.0,24.0,verified autonomous action
325,22.0,24.0,verified autonomous action
326,22.0,24.0,verified autonomous action
327,22.0,24.0,verified autonomous action
328,22.0,24.0,verified autonomous action
329,22.0,24.0,verified autonomous action
330,22.0,24.0,verified autonomous action
331,16.7,29.4,verified autonomous action
332,16.7,29.4,verified autonomous action
333,16.7,29.4,verified autonomous action
334,16.7,29.4,verified autonomous action
335,16.7,29.4,verified autonomous action
336,16.7,29.4,verified autonomous action
337,16.7,29.4,verified autonomous action
338,16.7,29.4,verified autonomous action
339,16.7,29.4,verified autonomous action
340,16.7,29.4,verified autonomous action
341,22.0,24.0,verified autonomous action
342,22.0,24.0,verified autonomous action
343,22.0,24.0,verified autonomous action
344,22.0,24.0,verified autonomous action
345,22.0,24.0,verified autonomous action
346,22.0,24.0,verified autonomous action
347,22.0,24.0,verified autonomous action
348,22.0,24.0,verified autonomous action
349,22.0,24.0,verified autonomous action
350,22.0,24.0,verified autonomous action
351,22.0,24.0,verified autonomous action
352,22.0,24.0,verified autonomous action
353,22.0,24.0,verified autonomous action
354,22.0,24.0,verified autonomous action
355,16.7,29.4,verified autonomous action
356,16.7,29.4,verified autonomous action
357,16.7,29.4,verified autonomous action
358,16.7,29.4,verified autonomous action
359,16.7,29.4,verified autonomous action
360,16.7,29.4,verified autonomous action
361,16.7,29.4,verified autonomous action
362,16.7,29.4,verified autonomous action
363,16.7,29.4,verified autonomous action
364,16.7,29.4,verified autonomous action
365,22.0,24.0,verified autonomous action
366,22.0,24.0,verified autonomous action
367,22.0,24.0,verified autonomous action
368,22.0,24.0,verified autonomous action
369,22.0,24.0,verified autonomous action
370,22.0,24.0,verified autonomous action
371,22.0,24.0,verified autonomous action
372,22.0,24.0,verified autonomous action
373,22.0,24.0,verified autonomous action
374,22.0,24.0,verified autonomous action
375,22.0,24.0,verified autonomous action
376,22.0,24.0,verified autonomous action
377,22.0,24.0,verified autonomous action
378,22.0,24.0,verified autonomous action
379,16.7,29.4,verified autonomous action
380,16.7,29.4,verified autonomous action
381,16.7,29.4,verified autonomous action
382,16.7,29.4,verified autonomous action
383,16.7,29.4,verified autonomous action
384,16.7,29.4,verified autonomous action
385,16.7,29.4,verified autonomous action
386,16.7,29.4,verified autonomous action
387,16.7,29.4,verified autonomous action
388,16.7,29.4,verified autonomous action
389,16.7,29.4,verified autonomous action
390,16.7,29.4,verified autonomous action
391,16.7,29.4,verified autonomous action
392,16.7,29.4,verified autonomous action
393,16.7,29.4,verified autonomous action
394,16.7,29.4,verified autonomous action
395,16.7,29.4,verified autonomous action
396,16.7,29.4,verified autonomous action
397,16.7,29.4,verified autonomous action
398,16.7,29.4,verified autonomous action
399,16.7,29.4,verified autonomous action
400,16.7,29.4,verified autonomous action
401,16.7,29.4,verified autonomous action
402,16.7,29.4,verified autonomous action
403,16.7,29.4,verified autonomous action
404,16.7,29.4,verified autonomous action
405,16.7,29.4,verified autonomous action
406,16.7,29.4,verified autonomous action
407,16.7,29.4,verified autonomous action
408,16.7,29.4,verified autonomous action
409,16.7,29.4,verified autonomous action
410,16.7,29.4,verified autonomous action
411,16.7,29.4,verified autonomous action
412,16.7,29.4,verified autonomous action
413,16.7,29.4,verified autonomous action
414,16.7,29.4,verified autonomous action
415,16.7,29.4,verified autonomous action
416,16.7,29.4,verified autonomous action
417,16.7,29.4,verified autonomous action
418,16.7,29.4,verified autonomous action
419,16.7,29.4,verified autonomous action
420,16.7,29.4,verified autonomous action
421,16.7,29.4,verified autonomous action
422,16.7,29.4,verified autonomous action
423,16.7,29.4,verified autonomous action
424,16.7,29.4,verified autonomous action
425,16.7,29.4,verified autonomous action
426,16.7,29.4,verified autonomous action
427,16.7,29.4,verified autonomous action
428,16.7,29.4,verified autonomous action
429,16.7,29.4,verified autonomous action
430,16.7,29.4,verified autonomous action
431,16.7,29.4,verified autonomous action
432,16.7,29.4,verified autonomous action
433,16.7,29.4,verified autonomous action
434,16.7,29.4,verified autonomous action
435,16.7,29.4,verified autonomous action
436,16.7,29.4,verified autonomous action
437,22.0,24.0,verified autonomous action
438,22.0,24.0,verified autonomous action
439,22.0,24.0,verified autonomous action
440,22.0,24.0,verified autonomous action
441,22.0,24.0,verified autonomous action
442,22.0,24.0,verified autonomous action
443,22.0,24.0,verified autonomous action
444,22.0,24.0,verified autonomous action
445,22.0,24.0,verified autonomous action
446,22.0,24.0,verified autonomous action
447,22.0,24.0,verified autonomous action
448,22.0,24.0,verified autonomous action
449,22.0,24.0,verified autonomous action
450,22.0,24.0,verified autonomous action
451,16.7,29.4,verified autonomous action
452,16.7,29.4,verified autonomous action
453,16.7,29.4,verified autonomous action
454,16.7,29.4,verified autonomous action
455,16.7,29.4,verified autonomous action
456,16.7,29.4,verified autonomous action
457,16.7,29.4,verified autonomous action
458,16.7,29.4,verified autonomous action
459,16.7,29.4,verified autonomous action
460,16.7,29.4,verified autonomous action
461,16.7,29.4,verified autonomous action
462,22.0,24.0,verified autonomous action
463,22.0,24.0,verified autonomous action
464,22.0,24.0,verified autonomous action
465,22.0,24.0,verified autonomous action
466,22.0,24.0,verified autonomous action
467,22.0,24.0,verified autonomous action
468,22.0,24.0,verified autonomous action
469,22.0,24.0,verified autonomous action
470,22.0,24.0,verified autonomous action
471,22.0,24.0,verified autonomous action
472,22.0,24.0,verified autonomous action
473,22.0,24.0,verified autonomous action
474,22.0,24.0,verified autonomous action
475,22.0,24.0,verified autonomous action
476,16.7,29.4,verified autonomous action
477,16.7,29.4,verified autonomous action
478,16.7,29.4,verified autonomous action
479,16.7,29.4,verified autonomous action
480,16.7,29.4,verified autonomous action
481,16.7,29.4,verified autonomous action
482,16.7,29.4,verified autonomous action
483,16.7,29.4,verified autonomous action
484,16.7,29.4,verified autonomous action
485,16.7,29.4,verified autonomous action
486,22.0,24.0,verified autonomous action
487,22.0,24.0,verified autonomous action
488,22.0,24.0,verified autonomous action
489,22.0,24.0,verified autonomous action
490,22.0,24.0,verified autonomous action
491,22.0,24.0,verified autonomous action
492,22.0,24.0,verified autonomous action
493,22.0,24.0,verified autonomous action
494,22.0,24.0,verified autonomous action
495,22.0,24.0,verified autonomous action
